0 i i 430 i 936 i 673 i 191 758 i i i i i i 506 485 i 783 i 557 i i 104 974 i 95 i 985 i 596 i 545 i i 264 i 17 i 124 i 605 i i 800 i i 85 
i i i i i i 159 i i i i i i i i i 103 i i i i i i 0 i i 294 i 572 682 i 402 i i i i 571 271 74 i 519 i i 492 i 220 i i 465 i 
i 205 i 187 808 i i 315 i 770 i i i 286 i i i 449 i i i i i 836 0 i 567 i i i i i i i i i i i 547 i i 884 i i 611 345 i i i i 
i i i 63 i i 296 964 i i 673 i 598 126 i 777 225 i i i i 809 i i i 0 897 i i 316 i 15 i i i i i i i i 865 424 i i i 918 i i i i 
i i 455 355 25 i 254 i 40 i i i i i i 707 91 i i i i i i i i i 0 i i 744 i i 514 i 219 903 232 i i 172 948 i 335 i i i 21 i i i 
i i 880 i i 351 i i 392 i i i i i i i 896 300 i i i i i i 717 i i 0 i 380 i i i i i i 723 i 536 i i i 627 981 i i i i i 882 
i 984 656 259 i i i i i i i 647 i i i i i i i 567 994 i i i 697 i i 619 0 669 i i i i i 254 i 860 i 71 i i i 142 881 391 i i i i 
92 i 268 i i 87 493 i i 301 i i i i i 651 15 915 983 794 i i 273 i i i i i i 0 912 815 i i i i i i 173 880 i i i i i 93 331 976 937 i 
575 i i 461 865 i 121 i i i i i i i i 465 i 678 159 77 i 897 i 868 i i i i i i 0 i i i i i i 895 576 i i i i 53 i 89 i i i i 
629 i i i i i i i i i i i i i 530 749 i i i i i 6 883 412 i i i i i i i 0 i i i i i i i i i i i i i i i 396 i i 
i 598 i 980 i i i i i i i i i i i i i i i 77 385 50 536 i 770 950 i i i 688 6 i 0 i i i 302 i i 171 i i i i i i i i i 738 
i i 819 i i 796 i i i i i i i i i i i i i i i i i i 566 i i i 591 i i i i 0 i i i i 720 i 9 647 i i i i i 521 i i 
233 117 i i i i 583 i i 27 i i i 45 561 66 i i i 56 i i i i 146 i i i 196 i 987 i i i 0 349 i i i i i i 719 i 640 i i i i i 
i 847 i i i i i i 198 i i i i i 583 406 i 231 i 526 i i i i 221 i i i 417 i 493 804 766 791 i 0 i i 384 i i i 398 i i 221 i 625 i i 
46 919 i i i i i 846 i i 280 i 314 i i i i i i i 241 i i i i 336 496 i i 908 i 360 i i i i 0 585 515 i i 56 i i i i i i 495 i 
184 i i 842 i i 85 i 779 i 828 i i 25 i i i i i i 237 815 i i 151 460 544 i 824 384 i 616 i 242 i i 398 0 i i i i 52 i 264 i i i 907 648 
i 431 i 276 635 i 401 i i 266 i i i i i i i i 750 i i i i i 226 i i i i i i i 1000 250 i i 316 i 0 442 269 i i i i i 497 109 i i 
222 369 i i 717 838 104 989 602 i i i i i 472 i i 251 860 402 i i i i i i 625 i i i i i i i 781 277 i i 915 0 i i i 82 i i i i i i 
540 922 i 222 i i i i i i i i i i i i i i i 247 i i i i i i i i i 492 i i i i i i 19 704 i i 0 i i i 90 810 716 i i 255 
i i i 351 i i i i i i i 479 475 i i i 712 i 403 i i i i i i i i 874 67 i 859 i i 496 i i i 132 i 448 i 0 i 256 i 167 i i i 349 
i i 54 i i i 464 585 i 451 375 852 93 523 i i 306 663 i 395 i 907 i i 525 i i 457 672 699 408 i 208 i 57 i 879 i i 576 i 586 0 777 i 12 831 i i i 
i i 227 i 714 i 724 i i 875 i i i 558 i 107 i i i 292 i i i i i i 659 i 21 i i i 144 i i 369 i i 258 i i i 543 0 702 597 i i i i 
211 i i i i i 581 i 847 647 i i i 771 128 i i i i i i i i i i i 744 i i i 836 i i 221 i 262 i 120 i 623 540 i i i 0 831 i i 336 i 
i i i i 636 i i i i 410 i 29 65 i 577 i i i i i i i i i i 462 i 478 i 231 252 532 i i i 635 i 414 436 230 i i i i i 0 i i 87 175 
120 560 i i 458 i i 973 i 710 i 347 i i i i i i i 581 i 584 140 i i i i i i i i i i i i i i 427 678 500 i i i i i i 0 i 642 i 
i i i 678 i i i i i i i 296 i i i i 778 i 908 i i i 499 i i i 710 574 157 i i i i 440 i i 813 i 705 i i i 111 i i 685 i 0 i i 
802 i i i 80 i i i 968 i i i i i i i 268 i i i 900 i 995 i i i i 377 i i i i 778 i i 651 i 145 762 i i i 999 i 216 i i 601 0 i 
845 i i i i i 210 i 522 i i i 641 i i 571 920 i 982 i 425 i i 178 i i i i i i i i i i i i i 847 i i i 259 i i i i i i i 0 
